,accom_icons,bookings_count,campsites_count,distance_to_search_place,favorites_count,has_enough_recommends,id,insertion_id,is_highly_demanded,is_instant_bookable,is_newly_live,is_price_discount,lat,lng,name,owner_first_name,park_name,park_url,price_per_night,price_per_night_formatted,price_per_night_base_formatted,recommends_count,recommends_percentage,url,state_abbrv_name,state_name,city_name,country_code,is_verified,market
117,rv,0,3,None,0,0,142350,c9p9pj67pepgp24n67gg,0,1,0,0,33.07891,-96.32138,Open Skies with wo Great Pyrenees,eme,eme G.’s Land,/en-US/discover/texas/deme-g-s-land,75,75,75,0,0.0,https://www.hipcamp.com/en-US/texas/deme-g-s-land/open-skies-with-two-great-pyrenees,X,exas,Farmersville,US,0,"Texas Hill Country, TX"
118,tent,0,12,None,33,0,44278,c9p9pj67pepgp24n67h0,0,1,0,0,33.5938,-95.86038,Hidden Grove ent amping,had,Kevin B.’s Land,/en-US/discover/texas/kevin-b-s-land-2,35,35,35,0,0.0,https://www.hipcamp.com/en-US/texas/kevin-b-s-land-2/hidden-grove-tent-camping,X,exas,None,US,0,"Texas Hill Country, TX"
119,tent,0,10,None,9,0,138626,c9p9pj67pepgp24n67hg,0,1,0,0,33.17596824995743,-96.34444351382446,North East exas rail amping ,Rebecca ,North East exas rail amping ,/en-US/discover/texas/north-east-texas-trail-camping,40,40,40,0,0.0,https://www.hipcamp.com/en-US/texas/north-east-texas-trail-camping/north-east-texas-trail-camping,X,exas,Farmersville,US,0,"Texas Hill Country, TX"
120,rv,7,2,None,27,1,33385,c9p9pj67pepgp24n67i0,0,0,0,0,33.7663908,-97.145689400000045,Old owne RV Ranch,Kristal,Old owne RV Ranch,/en-US/discover/oklahoma/old-towne-rv-ranch,40,40,40,7,100.0,https://www.hipcamp.com/en-US/oklahoma/old-towne-rv-ranch/old-towne-rv-ranch,OK,Oklahoma,,US,1,"Texas Hill Country, TX"
121,"['tent', 'rv']",1,6,None,15,0,87294,c9p9pj67pepgp24n67ig,0,1,0,0,31.4225333333333333,-94.8076333333333333,Plantation Pine Forest,Jessica,Plantation Pine Forest,/en-US/discover/texas/plantation-pine-forest,42,42,42,0,0.0,https://www.hipcamp.com/en-US/texas/plantation-pine-forest/plantation-pine-forest,X,exas,Pollok,US,0,"Texas Hill Country, TX"
122,house,0,1,None,4,0,103823,c9p9pj67pepgp24n67j0,0,1,0,0,32.6995666666666667,-96.1838666666666667,Meadow and wooded,Julia,Bryan Ranch Retreats,/en-US/discover/texas/bryan-ranch-retreats,118,118,118,0,0.0,https://www.hipcamp.com/en-US/texas/bryan-ranch-retreats/meadow-and-wooded,X,exas,errell,US,0,"Texas Hill Country, TX"
123,rv,1,1,None,24,1,49573,c9p9pj67pepgp24n67jg,0,0,0,0,30.7920932577115,-96.5374727659728,Sandhill Farms ent amping,Kevin,Sandhill Farms ent amping,/en-US/discover/texas/sandhill-farms-tent-camping,20,20,20,1,100.0,https://www.hipcamp.com/en-US/texas/sandhill-farms-tent-camping/sandhill-farms-tent-camping,X,exas,Hearne,US,0,"Texas Hill Country, TX"
124,"['tent', 'rv']",2,4,None,19,1,101049,c9p9pj67pepgp24n67k0,0,1,0,0,33.4807,-96.06285,Vrooman Ranch,Rebecca,Vrooman Ranch,/en-US/discover/texas/vrooman-ranch,40,40,40,2,100.0,https://www.hipcamp.com/en-US/texas/vrooman-ranch/vrooman-ranch,X,exas,None,US,0,"Texas Hill Country, TX"
125,house,0,1,None,10,0,47682,c9p9pj67pepgp24n67kg,0,0,0,0,33.2621,-95.8486,King’s Hut,Lanita,Blackland Ranch Wholeness tr,/en-US/discover/texas/blackland-ranch-wholeness-ctr,60,60,60,0,0.0,https://www.hipcamp.com/en-US/texas/blackland-ranch-wholeness-ctr/king-s-hut,X,exas,ommerce,US,0,"Texas Hill Country, TX"
126,rv,1,27,None,19,0,115015,c9p9pj67pepgp24n67l0,0,1,0,0,33.018755244444463,-95.0666524888889407,he Bluffs RV Park,Scott,he Bluffs RV Park,/en-US/discover/texas/the-bluffs-rv-park,45,45,45,0,0.0,https://www.hipcamp.com/en-US/texas/the-bluffs-rv-park/the-bluffs-rv-park,X,exas,Pittsburg,US,0,"Texas Hill Country, TX"
