,names,urls,prices,state
6,Fields of Dreams at Callicoon,https://www.tentrr.com/explore/New-York/Fields-of-Dreams-at-Callicoon?start=&end=&number_of_people=2,135,New York
7,Big Wood,https://www.tentrr.com/explore/New-York/Big-Wood?start=&end=&number_of_people=2,120,New York
8,On Scott's Lake,https://www.tentrr.com/explore/New-York/On-Scott-s-Lake?start=&end=&number_of_people=2,104,New York
9,Christmas Tree Farm Hideaway,https://www.tentrr.com/explore/New-York/Christmas-Tree-Farm-Hideaway?start=&end=&number_of_people=2,100,New York
10,The Old Catskill Game Farm   Abandoned Zoo: Wooded Site,https://www.tentrr.com/explore/New-York/The-Old-Catskill-Game-Farm-Abandoned-Zoo-Wooded-Site?start=&end=&number_of_people=2,140,New York
11,Honey Pot Farm Pond Paradise,https://www.tentrr.com/explore/New-York/Honey-Pot-Farm-Pond-Paradise?start=&end=&number_of_people=2,130,New York
0,Riverfront Ritz,https://www.tentrr.com/explore/New-York/Riverfront-Ritz?start=&end=&number_of_people=2,148,New York
1,Boulder Point with full baths,https://www.tentrr.com/explore/New-York/Boulder-Point-with-full-baths?start=&end=&number_of_people=2,140,New York
2,Upper Esopus Creekside Camp,https://www.tentrr.com/explore/New-York/Upper-Esopus-Creekside-Camp?start=&end=&number_of_people=2,130,New York
3,River's Edge on the Canal,https://www.tentrr.com/explore/New-York/River-s-Edge-on-the-Canal?start=&end=&number_of_people=2,175,New York
4,North 40 Vista,https://www.tentrr.com/explore/New-York/North-40-Vista?start=&end=&number_of_people=2,120,New York
5,Crystal Pond at Hogan's Landing ,https://www.tentrr.com/explore/New-York/Crystal-Pond-at-Hogan-s-Landing?start=&end=&number_of_people=2,130,New York
6,Whispering Pines on Harrisburg Lake,https://www.tentrr.com/explore/New-York/Whispering-Pines-on-Harrisburg-Lake?start=&end=&number_of_people=2,144,New York
7,Mountain Pass Hideaway,https://www.tentrr.com/explore/New-York/Mountain-Pass-Hideaway?start=&end=&number_of_people=2,65,New York
8,Pleasant Valley Maplecroft Camp,https://www.tentrr.com/explore/New-York/Pleasant-Valley-Maplecroft-Camp?start=&end=&number_of_people=2,88,New York
9,Pasture Paradise Camp at Parkwood Farm,https://www.tentrr.com/explore/New-York/Pasture-Paradise-Camp-at-Parkwood-Farm?start=&end=&number_of_people=2,105,New York
10,Sands Creek Camp,https://www.tentrr.com/explore/New-York/Sands-Creek-Camp?start=&end=&number_of_people=2,135,New York
11,Camp Haven: Meadow Retreat   Now Open,https://www.tentrr.com/explore/New-York/Camp-Haven-Meadow-Retreat-Now-Open?start=&end=&number_of_people=2,100,New York
